PLANT_ID,TIME_ID,TIME,SPECIES,TREATMENT,NUM_EGGS_PRESENT,PROP_SURV,HOURS_POST_DEPLOY
10,5,20,SYR,CLOSED,2,1,10
10,5,20,SYR,OPEN,2,1,10
11,5,20,SYR,CLOSED,2,1,10
11,5,20,SYR,OPEN,2,1,10
12,5,20,SYR,CLOSED,2,1,10
12,5,20,SYR,OPEN,0,0,10
13,5,20,SYR,CLOSED,2,1,10
13,5,20,SYR,OPEN,0,0,10
14,5,20,SYR,CLOSED,2,1,10
14,5,20,SYR,OPEN,0,0,10
15,5,20,SYR,CLOSED,2,1,10
15,5,20,SYR,OPEN,0,0,10
16,5,20,INC,CLOSED,2,1,10
16,5,20,INC,OPEN,2,1,10
17,5,20,INC,CLOSED,2,1,10
17,5,20,INC,OPEN,2,1,10
18,5,20,INC,CLOSED,2,1,10
18,5,20,INC,OPEN,2,1,10
19,5,20,INC,CLOSED,2,1,10
19,5,20,INC,OPEN,2,1,10
20,5,20,INC,CLOSED,2,1,10
20,5,20,INC,OPEN,2,1,10
21,5,20,INC,CLOSED,2,1,10
21,5,20,INC,OPEN,2,1,10
22,5,20,INC,CLOSED,2,1,10
22,5,20,INC,OPEN,2,1,10
23,5,20,INC,CLOSED,2,1,10
23,5,20,INC,OPEN,2,1,10
24,5,20,INC,CLOSED,2,1,10
24,5,20,INC,OPEN,1,0.5,10
25,5,20,INC,CLOSED,2,1,10
25,5,20,INC,OPEN,2,1,10
26,5,20,INC,CLOSED,2,1,10
26,5,20,INC,OPEN,2,1,10
27,5,20,INC,CLOSED,2,1,10
27,5,20,INC,OPEN,2,1,10
28,5,20,INC,CLOSED,2,1,10
28,5,20,INC,OPEN,2,1,10
29,5,20,INC,CLOSED,2,1,10
29,5,20,INC,OPEN,2,1,10
30,5,20,INC,CLOSED,2,1,10
30,5,20,INC,OPEN,2,1,10
1,6,22,SYR,CLOSED,2,1,10
1,6,22,SYR,OPEN,2,1,10
2,6,22,SYR,CLOSED,2,1,10
2,6,22,SYR,OPEN,2,1,10
3,6,22,SYR,CLOSED,2,1,10
3,6,22,SYR,OPEN,2,1,10
4,6,22,SYR,CLOSED,2,1,10
4,6,22,SYR,OPEN,0,0,10
5,6,22,SYR,CLOSED,2,1,10
5,6,22,SYR,OPEN,1,0.5,10
6,6,22,SYR,CLOSED,2,1,10
6,6,22,SYR,OPEN,0,0,10
7,6,22,SYR,CLOSED,2,1,10
7,6,22,SYR,OPEN,0,0,10
8,6,22,SYR,CLOSED,2,1,10
8,6,22,SYR,OPEN,2,1,10
9,6,22,SYR,CLOSED,2,1,10
9,6,22,SYR,OPEN,2,1,10
10,6,22,SYR,CLOSED,2,1,10
10,6,22,SYR,OPEN,2,1,10
11,6,22,SYR,CLOSED,2,1,10
11,6,22,SYR,OPEN,1,0.5,10
12,6,22,SYR,CLOSED,2,1,10
12,6,22,SYR,OPEN,0,0,10
13,6,22,SYR,CLOSED,2,1,10
13,6,22,SYR,OPEN,0,0,10
14,6,22,SYR,CLOSED,2,1,10
14,6,22,SYR,OPEN,0,0,10
15,6,22,SYR,CLOSED,2,1,10
15,6,22,SYR,OPEN,0,0,10
16,6,22,INC,CLOSED,2,1,10
16,6,22,INC,OPEN,1,0.5,10
17,6,22,INC,CLOSED,2,1,10
17,6,22,INC,OPEN,1,0.5,10
18,6,22,INC,CLOSED,2,1,10
18,6,22,INC,OPEN,2,1,10
19,6,22,INC,CLOSED,2,1,10
19,6,22,INC,OPEN,1,0.5,10
20,6,22,INC,CLOSED,2,1,10
20,6,22,INC,OPEN,2,1,10
21,6,22,INC,CLOSED,2,1,10
21,6,22,INC,OPEN,2,1,10
22,6,22,INC,CLOSED,2,1,10
22,6,22,INC,OPEN,2,1,10
23,6,22,INC,CLOSED,2,1,10
23,6,22,INC,OPEN,2,1,10
24,6,22,INC,CLOSED,2,1,10
24,6,22,INC,OPEN,1,0.5,10
25,6,22,INC,CLOSED,2,1,10
25,6,22,INC,OPEN,0,0,10
26,6,22,INC,CLOSED,2,1,10
26,6,22,INC,OPEN,2,1,10
27,6,22,INC,CLOSED,2,1,10
27,6,22,INC,OPEN,2,1,10
28,6,22,INC,CLOSED,2,1,10
28,6,22,INC,OPEN,2,1,10
29,6,22,INC,CLOSED,2,1,10
29,6,22,INC,OPEN,2,1,10
30,6,22,INC,CLOSED,2,1,10
30,6,22,INC,OPEN,2,1,10
1,7,24,SYR,CLOSED,2,1,12
1,7,24,SYR,OPEN,2,1,12
2,7,24,SYR,CLOSED,2,1,12
2,7,24,SYR,OPEN,0,0,12
3,7,24,SYR,CLOSED,2,1,12
3,7,24,SYR,OPEN,1,0.5,12
4,7,24,SYR,CLOSED,2,1,12
4,7,24,SYR,OPEN,0,0,12
5,7,24,SYR,CLOSED,2,1,12
5,7,24,SYR,OPEN,1,0.5,12
6,7,24,SYR,CLOSED,2,1,12
6,7,24,SYR,OPEN,0,0,12
7,7,24,SYR,CLOSED,2,1,12
7,7,24,SYR,OPEN,0,0,12
8,7,24,SYR,CLOSED,2,1,12
8,7,24,SYR,OPEN,2,1,12
9,7,24,SYR,CLOSED,2,1,12
9,7,24,SYR,OPEN,2,1,12
10,7,24,SYR,CLOSED,2,1,12
10,7,24,SYR,OPEN,2,1,12
11,7,24,SYR,CLOSED,2,1,12
11,7,24,SYR,OPEN,1,0.5,12
12,7,24,SYR,CLOSED,2,1,12
12,7,24,SYR,OPEN,0,0,12
13,7,24,SYR,CLOSED,2,1,12
13,7,24,SYR,OPEN,0,0,12
14,7,24,SYR,CLOSED,2,1,12
