WEEK,LOCATION,SPECIES,MON_EGG_TOT,MON_LARV_TOT,MYZ_ASC,APH_NER,APH_ASC,APH_TOT,FOR_SUB,FOR_PAL,FOR_TOT,LAS_NEO,LAS_TOT,TET_IMM,CRE_CER,ANT_TOT,LB_TOT,PARA,LWING
6,LP,INCARNATA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
6,LP,INCARNATA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,LP,INCARNATA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,LP,INCARNATA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,LP,SYRIACA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6,LP,SYRIACA,0,0,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0
6,LP,SYRIACA,2,1,35,0,0,35,0,0,0,0,0,0,0,0,0,0,0
6,LP,SYRIACA,4,0,20,0,9,29,0,0,0,0,0,0,0,0,0,0,0
6,LP,SYRIACA,1,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0
6,LP,TUBEROSA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,JY,INCARNATA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,JY,INCARNATA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,JY,INCARNATA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,JY,INCARNATA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,JY,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,JY,SYRIACA,0,0,1440,0,0,1440,0,0,0,0,0,0,0,0,1,0,2
6,JY,SYRIACA,0,1,160,0,0,160,0,0,0,0,0,0,0,0,0,0,0
6,JY,SYRIACA,1,0,520,0,0,520,0,0,0,0,0,0,0,0,0,0,0
6,JY,SYRIACA,1,1,2170,0,0,2170,1,1,2,0,0,0,0,2,1,0,0
6,JY,SYRIACA,1,0,2200,0,0,2200,1,0,1,0,0,0,0,1,1,0,0
6,JY,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,JY,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,JY,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,JY,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,JY,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,WE,SYRIACA,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,WE,SYRIACA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,WE,SYRIACA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,WE,SYRIACA,0,0,402,0,0,402,0,0,0,0,0,0,0,0,0,0,1
6,WE,SYRIACA,6,0,579,0,0,579,0,0,0,0,0,0,0,0,0,1,0
6,WE,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,WE,TUBEROSA,0,0,6,0,0,6,0,0,0,1,1,0,0,1,0,0,0
6,WE,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,WE,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,WE,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AN,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AN,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AN,INCARNATA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,AN,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AN,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,EB,INCARNATA,10,0,0,2,0,2,0,1,1,0,0,0,0,1,2,0,0
6,EB,INCARNATA,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AN,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AN,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AN,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AN,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AN,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AN,SYRIACA,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0
6,AN,SYRIACA,0,0,60,0,0,60,0,11,11,0,0,0,0,11,0,0,0
6,AN,SYRIACA,0,0,5,0,0,6,0,1,1,0,0,0,0,1,0,0,0
6,AN,SYRIACA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AN,SYRIACA,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0
6,EB,SYRIACA,1,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0
6,EB,SYRIACA,4,0,6,0,0,6,1,0,1,0,0,0,0,1,0,0,0
6,EB,SYRIACA,1,0,32,8,0,40,0,0,0,0,0,0,0,0,0,0,0
6,EB,SYRIACA,9,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
6,EB,SYRIACA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,EB,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
